"review_index","source_file","source_path","trace_index","fiber_id","nd2_name","tile_name","baseline_9p5_10d","shifted_max","shifted_min","shifted_amplitude","reviewed_label","notes"
"17","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","701","566","0203-2-B2-40X","0203-2-B2-40X","-0.008051114261743342","0.1022263260873611","-0.8859013903027294","0.8859013903027294","inhibition",""
"18","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","261","3495","0203-3-B5002","0203-3-B5002","-0.0327402743686502","0.3345798214910924","-0.0887305740026596","0.3345798214910924","sustained_response",""
"19","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","376","2601","0203-3-B5003","0203-3-B5003","-0.05614387778057869","0.22382225312367243","-0.03134212323752485","0.22382225312367243","no_response",""
"20","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","493","1447","0203-3-B5004","0203-3-B5004","0.006697005542943264","0.04504988394643935","-0.8436752372725428","0.8436752372725428","inhibition",""
"21","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","575","3392","0203-3-B5004","0203-3-B5004","-0.03753460491324442","0.32035955706769825","-0.3745806197083587","0.3745806197083587","weak_first_peak",""
"22","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","636","435","0203-3-C2001","0203-3-C2001","0.07712263335350181","0.0324197476791432","-0.35120969070104857","0.35120969070104857","inhibition",""
"23","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","920","418","0203-3-C5001","0203-3-C5001","0.02651070222118076","4.156810734082773","-0.08102081102309708","4.156810734082773","strong_first_peak",""
"24","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","9","210","0203-4-B2001","0203-4-B2001","-0.09948968877435266","0.6120619278458823","-0.035076906959833426","0.6120619278458823","sustained_response",""
"25","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","198","1862","0203-4-B2002","0203-4-B2002","0.025085209097603547","1.922626216139812","-0.38873330195783123","1.922626216139812","strong_first_peak",""
"26","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","282","580","0203-4-B2003","0203-4-B2003","0.006265047276327109","0.7463420095442084","-0.16986760232986514","0.7463420095442084","sustained_response",""
"27","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","330","1433","0203-4-B2003","0203-4-B2003","0.10499312257795192","0.015060511719588804","-0.20935563531841228","0.20935563531841228","inhibition",""
"28","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","358","2214","0203-4-B2003","0203-4-B2003","0.01981215378163504","4.061524718985842","-0.6041947400832297","4.061524718985842","strong_first_peak",""
"29","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","362","2341","0203-4-B2003","0203-4-B2003","0.031876231699215225","0.30709448353964813","-0.047340861442339385","0.30709448353964813","sustained_response",""
"30","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","385","2806","0203-4-B2003","0203-4-B2003","0.02227787744882303","0.20677100665164772","-0.09887250680828555","0.20677100665164772","strong_first_peak",""
"31","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","547","270","0203-4-B5002","0203-4-B5002","-0.08980678537958481","10.37779848240245","-0.040334507041894535","10.37779848240245","sustained_response",""
"32","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","594","1422","0203-4-B5002","0203-4-B5002","0.00806388120573944","0.004542756681991432","-0.810022631318642","0.810022631318642","inhibition",""
"33","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","640","2567","0203-4-B5002","0203-4-B5002","-0.005832958082476396","0.2842607285254064","-0.06729897602513157","0.2842607285254064","no_response",""
"34","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","644","2753","0203-4-B5002","0203-4-B5002","-0.058868730310642284","0.270895346432021","-0.03324749664239181","0.270895346432021","dual_peak",""
"35","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","983","5587","0203-4-B5003","0203-4-B5003","-0.009982498536180374","2.8630334478635775","-0.08441732811943636","2.8630334478635775","weak_first_peak",""
"36","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1050","708","0203-4-C2001","0203-4-C2001","-0.027811454330721956","2.640963633266524","-0.21276808318243676","2.640963633266524","strong_first_peak",""
"37","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1091","1636","0203-4-C2001","0203-4-C2001","-0.030085403851706834","0.6558041261490617","-0.5097339287201662","0.6558041261490617","strong_first_peak",""
"38","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1142","189","0203-4-C2002","0203-4-C2002","0.03330636589331863","1.0504609401556693","-0.17378158777566488","1.0504609401556693","strong_first_peak",""
"39","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1187","1083","0203-4-C2002","0203-4-C2002","-0.030038746072726392","0.35870377237498496","-0.02870601435416846","0.35870377237498496","sustained_response",""
"40","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1295","549","0203-4-C2003","0203-4-C2003","-0.0038113714215315744","1.6187674981184614","-0.31722030584356514","1.6187674981184614","weak_first_peak",""
"41","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1401","7","0203-4-C5-DG","0203-4-C5-DG","-0.023750467115947884","0.4514276740365764","-0.2490725635139642","0.4514276740365764","sustained_response",""
"42","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1557","2848","0203-4-C5-DG","0203-4-C5-DG","0.1397274125797408","1.4772816434751523","-0.18927562135204665","1.4772816434751523","strong_first_peak",""
"43","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1632","4717","0203-4-C5-DG","0203-4-C5-DG","-0.03946437260902761","0.34185957186379473","-0.05400306121801137","0.34185957186379473","sustained_response",""
"44","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1663","5303","0203-4-C5-DG","0203-4-C5-DG","0.026773512327057797","2.655796339995786","-0.09887307025710608","2.655796339995786","sustained_response",""
"45","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1665","5355","0203-4-C5-DG","0203-4-C5-DG","-0.036579926678627375","0.47288087117172967","-0.1803257300055776","0.47288087117172967","strong_first_peak",""
"46","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1692","5952","0203-4-C5-DG","0203-4-C5-DG","0.035262303535834226","0.30011278435973227","-0.07284622254451165","0.30011278435973227","sustained_response",""
"47","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1709","6256","0203-4-C5-DG","0203-4-C5-DG","0.020470399812602152","0.21078236414699056","-0.058010656073214414","0.21078236414699056","no_response",""
"48","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1750","86","0203-4-C5001","0203-4-C5001","0.020867806958909312","5.7040814350804965","-0.15643886060833903","5.7040814350804965","strong_first_peak",""
"49","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1950","1065","0203-4-C5002","0203-4-C5002","0.00028603054923074004","0.01991441934722707","-0.9437683258906084","0.9437683258906084","inhibition",""
"50","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","2498","1465","0203-4-D2003","0203-4-D2003","0.001215443139626093","0.43511655333998006","-0.15715181229567354","0.43511655333998006","strong_first_peak",""
"51","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","2569","2834","0203-4-D2003","0203-4-D2003","-0.12724803837779677","0.1707899986427286","-0.5894341108667231","0.5894341108667231","weak_first_peak",""
"52","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","290","1035","0203-5-A2-DG","0203-5-A2-DG","0.11947587174140917","0.05531733176127951","-0.8017665890477792","0.8017665890477792","inhibition",""
"53","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","560","2071","0203-5-A2001","0203-5-A2001","-0.006424608173723395","2.203493221737865","-0.3001931959089297","2.203493221737865","sustained_response",""
"54","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","611","3254","0203-5-A2001","0203-5-A2001","-0.011637741167976993","0.35226909081499336","-0.05683408490873027","0.35226909081499336","sustained_response",""
"55","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","727","4097","0203-5-A2002","0203-5-A2002","0.00001666390928695014","0.23501242929371519","-0.43215215825820547","0.43215215825820547","no_response",""
"56","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","897","874","0203-5-A5-DG","0203-5-A5-DG","0.01026067054278983","0.7006848340976926","-0.08066339537869403","0.7006848340976926","strong_first_peak",""
"57","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1043","5202","0203-5-A5-DG","0203-5-A5-DG","0.04071054043550234","0.21348077549395575","-0.10859329548244187","0.21348077549395575","weak_first_peak",""
"58","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1049","5300","0203-5-A5-DG","0203-5-A5-DG","-0.027672249314486412","0.21952728428351684","-0.004124128705460917","0.21952728428351684","no_response",""
"59","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1162","2591","0203-5-A5001","0203-5-A5001","0.010216257754910946","0.03545656373101962","-0.40728296060086056","0.40728296060086056","inhibition",""
"60","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1168","2730","0203-5-A5001","0203-5-A5001","-0.0030446633349732535","0.20033056030775487","-0.044792138778560704","0.20033056030775487","no_response",""
"61","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1209","394","0203-5-A5002","0203-5-A5002","0.012868894721300952","0.24495729054339724","-0.3963399100704913","0.3963399100704913","weak_first_peak",""
"62","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1262","2566","0203-5-A5002","0203-5-A5002","0.01582272748131664","0.03677420468136504","-0.6274577535025171","0.6274577535025171","inhibition",""
"63","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1338","1489","0203-5-A5003","0203-5-A5003","-0.009287364219299347","0.07621490527816317","-0.4505697157454981","0.4505697157454981","inhibition",""
"64","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1511","92","0203-5-B5-CA3","0203-5-B5-CA3","0.04355425764081732","0.03327093417925884","-0.9408529572787883","0.9408529572787883","inhibition",""
"65","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1562","2283","0203-5-B5-CA3","0203-5-B5-CA3","0.02897359837145107","0.3128423948762253","-0.4322807798246724","0.4322807798246724","weak_first_peak",""
"66","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1745","2660","0203-5-B5-DG001","0203-5-B5-DG001","-0.027465538199851924","0.21652589630932859","-0.06996225023234925","0.21652589630932859","dual_peak",""
"67","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1769","3009","0203-5-B5-DG001","0203-5-B5-DG001","0.09916947604177379","0.05222971930744372","-0.22586261650514963","0.22586261650514963","inhibition",""
"68","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1989","4013","0203-5-B5-DG","0203-5-B5-DG","0.0035607802700731556","0.46038646422012874","-0.06858367371991131","0.46038646422012874","no_response",""
"69","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2040","216","0203-5-B5001","0203-5-B5001","0.043312512595887136","0.4775558006827039","-0.5765644565083851","0.5765644565083851","weak_first_peak",""
"70","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2045","311","0203-5-B5001","0203-5-B5001","-0.014091576549295761","0.21913423894880105","-0.007252448995840233","0.21913423894880105","sustained_response",""
"71","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2074","1235","0203-5-B5001","0203-5-B5001","-0.16235566447994934","1.6988879539851622","-0.00768613993429676","1.6988879539851622","sustained_response",""
"72","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2088","1747","0203-5-B5001","0203-5-B5001","0.012639950481258558","0.8790234592702261","-0.5552344832759716","0.8790234592702261","weak_first_peak",""
"73","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2102","2098","0203-5-B5001","0203-5-B5001","-0.057905884101419676","0.6866687208477451","-0.01993300420796961","0.6866687208477451","sustained_response",""
"74","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2249","2138","0203-5-B5002","0203-5-B5002","0.039473768028129214","0.016224611341490336","-0.5100862510600126","0.5100862510600126","inhibition",""
"75","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2316","874","0203-5-B5003","0203-5-B5003","-0.03257181135682717","1.1818688640096136","-0.44501894761446625","1.1818688640096136","strong_first_peak",""
"76","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2319","889","0203-5-B5003","0203-5-B5003","-0.009641906962856139","0.1110973228679089","-0.9414604179518588","0.9414604179518588","inhibition",""
"77","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2347","1646","0203-5-B5003","0203-5-B5003","0.004778886613727342","0.849583067382926","-0.07695130882201258","0.849583067382926","sustained_response",""
"78","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2392","2632","0203-5-B5003","0203-5-B5003","0.0010084083147822193","0.027428155799846605","-0.641752868916245","0.641752868916245","inhibition",""
"79","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2473","1597","0203-5-C5001","0203-5-C5001","-0.11549907698092876","4.350739459992484","-0.026513176553512124","4.350739459992484","sustained_response",""
"80","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2477","1709","0203-5-C5001","0203-5-C5001","0.04117057310940343","0.0839833765821782","-0.22564094159355774","0.22564094159355774","inhibition",""
"81","HPC 0212-1.npz","data/raw/hpc/HPC 0212-1.npz","86","2768","0212-1-B2-DG001","0212-1-B2-DG001","0.027864442837012768","0.1213616415410496","-0.31802716124903946","0.31802716124903946","no_response",""
"82","HPC 0212-1.npz","data/raw/hpc/HPC 0212-1.npz","315","5309","0212-1-B2-DG002","0212-1-B2-DG002","-0.025655203249585173","0.2643187126970433","-0.07313753609140623","0.2643187126970433","no_response",""
"83","HPC 0212-2.npz","data/raw/hpc/HPC 0212-2.npz","44","1297","0212-2-B2-CA1001","0212-2-B2-CA1001","0.12860524425947858","25.162240345564577","-0.06045020808484411","25.162240345564577","sustained_response",""
"84","HPC 0212-2.npz","data/raw/hpc/HPC 0212-2.npz","174","1265","0212-2-B2-CA1002","0212-2-B2-CA1002","-0.0005802604023732014","0.6011991366265256","-0.07627697969777121","0.6011991366265256","strong_first_peak",""
"85","HPC 0212-2.npz","data/raw/hpc/HPC 0212-2.npz","220","2873","0212-2-B2-CA1002","0212-2-B2-CA1002","0.011840048329679838","0.014961124342505822","-0.5640025738004324","0.5640025738004324","inhibition",""
"86","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","366","1540","0212-5-B2-40X003","0212-5-B2-40X003","-0.003256072245006961","0.3156628191251545","-0.00885231911626749","0.3156628191251545","sustained_response",""
"87","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","495","562","0212-5-B2-40X004","0212-5-B2-40X004","-0.04379810576752788","1.692600674884505","-0.13014931074780414","1.692600674884505","sustained_response",""
"88","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","498","860","0212-5-B2-40X004","0212-5-B2-40X004","-0.02602766972796808","0.16635591681076153","-0.319160088693428","0.319160088693428","weak_first_peak",""
"89","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","828","1613","0212-5-B2-40X","0212-5-B2-40X","0.000008852593525623007","0.019227890092288376","-0.580753573165872","0.580753573165872","inhibition",""
"90","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","884","2765","0212-5-B2-40X","0212-5-B2-40X","0.001210629365181625","0.04265207258240878","-0.3433885761421238","0.3433885761421238","inhibition",""
"91","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","1120","2127","0212-5-B5-40X002","0212-5-B5-40X002","-0.010905095859746106","0.03405067771936345","-0.38842664994091813","0.38842664994091813","inhibition",""
"92","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","1129","2356","0212-5-B5-40X002","0212-5-B5-40X002","-0.07397103535067664","1.0846097886630899","-0.2574509833668158","1.0846097886630899","strong_first_peak",""
"93","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","1443","62","0212-5-B5-40X005","0212-5-B5-40X005","0.012954851071135507","0.0034880315155358874","-0.8146251936949527","0.8146251936949527","inhibition",""
"94","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","1639","2176","0212-5-B5-40X","0212-5-B5-40X","0.02476282779898267","0.0033901834045212617","-0.3770592902862988","0.3770592902862988","inhibition",""
"95","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","2174","878","0212-5-C2-40X004","0212-5-C2-40X004","-0.0005086420734235188","0.09842153067734362","-0.7875062508088262","0.7875062508088262","inhibition",""
"96","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","2225","2519","0212-5-C2-40X004","0212-5-C2-40X004","-0.013581649711377035","0.10618650797910192","-0.6742417913382805","0.6742417913382805","inhibition",""
"97","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","2302","1784","0212-5-C2-40X","0212-5-C2-40X","0.0020998980538395407","0.4879715904698012","-0.3080573232307689","0.4879715904698012","strong_first_peak",""
"98","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","2833","226","0212-5-C5-40X004","0212-5-C5-40X004","-0.08143342498872563","0.30158303569278566","-0.005389523521035722","0.30158303569278566","sustained_response",""
"99","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","2982","657","0212-5-C5-40X005","0212-5-C5-40X005","-0.23884970829771848","0.04055585436893183","-0.3316531363701033","0.3316531363701033","inhibition",""
"100","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","3153","3851","0212-5-C5-40X","0212-5-C5-40X","-0.026601255291833784","0.07432232181994905","-0.6984860138356632","0.6984860138356632","inhibition",""
